	2020-03-15 03:00:00	2020-03-16 03:00:00	2020-03-18 10:47:00	2020-03-18 19:30:00	2020-03-19 09:29:00	2020-03-19 12:00:00	2020-03-19 13:20:00	2020-03-20 15:25:00	2020-03-21 16:14:00	2020-03-22 14:15:00	2020-03-23 15:03:00	2020-03-24 14:49:00	2020-03-25 13:46:00	2020-03-26 13:49:00	2020-03-27 14:19:00	2020-03-28 14:55:00	2020-03-29 15:38:00
Albany	8.0	12.0	23.0	36.0	36.0	36.0	43.0	61.0	88.0	123.0	127.0	146.0	152.0	171.0	187.0	195.0	205.0
Allegany	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	6.0
Broome	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	3.0	7.0	7.0	11.0	16.0	18.0	23.0	29.0
Cattaraugus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0
Cayuga	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
Chautauqua	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	5.0	5.0
Chemung	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	7.0	11.0	12.0	15.0
Chenango	0.0	0.0	0.0	1.0	1.0	1.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	4.0	8.0	15.0
Clinton	0.0	0.0	1.0	1.0	1.0	1.0	2.0	2.0	4.0	4.0	6.0	6.0	10.0	11.0	11.0	12.0	13.0
Columbia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	5.0	10.0	10.0	12.0	13.0	20.0	22.0	23.0
Cortland	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	2.0	2.0	2.0	4.0	5.0	6.0
Delaware	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	3.0	3.0	5.0	7.0	8.0	8.0	8.0
Dutchess	7.0	10.0	16.0	20.0	20.0	20.0	31.0	36.0	49.0	82.0	100.0	124.0	153.0	190.0	225.0	262.0	320.0
